year,month,site,prec,,Source:
2003,1,1,6.604,,
2003,2,1,7.366,,
2003,3,1,53.594,,
2003,4,1,80.772,,
2003,5,1,60.96,,
2003,6,1,50.8,,
2003,7,1,40.64,,
2003,8,1,54.61,,
2003,9,1,4.826,,
2003,10,1,1.016,,
2003,11,1,3.556,,
2003,12,1,7.62,,
2004,1,1,4.064,,
2004,2,1,22.86,,
2004,3,1,7.366,,
2004,4,1,35.56,,
2004,5,1,26.162,,
2004,6,1,72.136,,
2004,7,1,67.31,,
2004,8,1,71.12,,
2004,9,1,35.814,,
2004,10,1,20.066,,
2004,11,1,32.766,,
2004,12,1,5.842,,
2005,1,1,3.81,,
2005,2,1,1.524,,
2005,3,1,8.89,,
2005,4,1,39.878,,
2005,5,1,60.706,,
2005,6,1,66.04,,
2005,7,1,12.7,,
2005,8,1,38.1,,
2005,9,1,5.08,,
2005,10,1,33.02,,
2005,11,1,15.24,,
2005,12,1,0,,
2006,1,1,8.382,,
2006,2,1,8.382,,
2006,3,1,27.178,,
2006,4,1,8.128,,
2006,5,1,22.098,,
2006,6,1,1.016,,
2006,7,1,49.022,,
2006,8,1,85.344,,
2006,9,1,51.562,,
2006,10,1,25.654,,
2006,11,1,0.254,,
2006,12,1,2.286,,
2007,1,1,2.54,,
2007,2,1,25.908,,
2007,3,1,26.162,,
2007,4,1,25.908,,
2007,5,1,22.098,,
2007,6,1,50.8,,
2007,7,1,101.6,,
2007,8,1,91.948,,
2007,9,1,58.42,,
2007,10,1,11.938,,
2007,11,1,0,,
2007,12,1,0,,
2008,1,1,0,,
2008,2,1,0,,
2008,3,1,1.27,,
2008,4,1,21.336,,
2008,5,1,32.258,,
2008,6,1,66.04,,
2008,7,1,45.212,,
2008,8,1,151.638,,
2008,9,1,25.4,,
2008,10,1,38.862,,
2008,11,1,15.24,,
2008,12,1,1.524,,
2009,1,1,1.016,,
2009,2,1,12.954,,
2009,3,1,11.684,,
2009,4,1,66.294,,
2009,5,1,48.514,,
2009,6,1,139.446,,
2009,7,1,52.324,,
2009,8,1,53.594,,
2009,9,1,67.818,,
2009,10,1,54.356,,
2009,11,1,4.318,,
2009,12,1,1.524,,
2010,1,1,0.508,,
2010,2,1,5.334,,
2010,3,1,27.686,,
2010,4,1,57.404,,
2010,5,1,53.086,,
2010,6,1,43.18,,
2010,7,1,64.008,,
2010,8,1,59.436,,
2010,9,1,6.096,,
2010,10,1,19.304,,
2010,11,1,11.176,,
2010,12,1,0.508,,
2011,1,1,5.588,,
2011,2,1,3.81,,
2011,3,1,10.16,,
2011,4,1,50.292,,
2011,5,1,151.892,,
2011,6,1,23.876,,
2011,7,1,90.424,,
2011,8,1,51.562,,
2011,9,1,38.608,,
2011,10,1,21.844,,
2011,11,1,7.62,,
2011,12,1,0.508,,
1985,1,2,5.59,,
1985,2,2,17.02,,
1985,3,2,0.51,,
1985,4,2,42.42,,
1985,5,2,103.89,,
1985,6,2,15.75,,
1985,7,2,71.62,,
1985,8,2,24.38,,
1985,9,2,3.05,,
1985,10,2,4.83,,
1985,11,2,24.63,,
1985,12,2,5.84,,
1986,1,2,2.03,,
1986,2,2,8.38,,
1986,3,2,6.36,,
1986,4,2,55.12,,
1986,5,2,62.49,,
1986,6,2,79.5,,
1986,7,2,53.08,,
1986,8,2,51.06,,
1986,9,2,6.35,,
1986,10,2,47.25,,
1986,11,2,7.62,,
1986,12,2,12.95,,
1987,1,2,10.92,,
1987,2,2,37.59,,
1987,3,2,36.83,,
1987,4,2,34.29,,
1987,5,2,108.72,,
1987,6,2,158.23,,
1987,7,2,50.3,,
1987,8,2,34.8,,
1987,9,2,48.52,,
1987,10,2,1.27,,
1987,11,2,23.62,,
1987,12,2,10.15,,
1988,1,2,19.82,,
1988,2,2,0.76,,
1988,3,2,25.4,,
1988,4,2,40.64,,
1988,5,2,68.58,,
1988,6,2,60.96,,
1988,7,2,56.64,,
1988,8,2,55.12,,
1988,9,2,53.85,,
1988,10,2,2.54,,
1988,11,2,0,,
1988,12,2,10.41,,
1989,1,2,4.318,,
1989,2,2,0,,
1989,3,2,11.43,,
1989,4,2,5,,
1989,5,2,85.34,,
1989,6,2,148.06,,
1989,7,2,33.26,,
1989,8,2,98.29,,
1989,9,2,75.42,,
1989,10,2,9.91,,
1989,11,2,0,,
1989,12,2,0,,
1990,1,2,25.654,,
1990,2,2,12.954,,
1990,3,2,53.34,,
1990,4,2,27.43,,
1990,5,2,82.05,,
1990,6,2,45.99,,
1990,7,2,88.37,,
1990,8,2,61.47,,
1990,9,2,35.81,,
1990,10,2,34.54,,
1990,11,2,22.1,,
1990,12,2,0.25,,
1991,1,2,2.04,,
1991,2,2,4.57,,
1991,3,2,42.93,,
1991,4,2,10.41,,
1991,5,2,61.22,,
1991,6,2,55.62,,
1991,7,2,170.16,,
1991,8,2,101.08,,
1991,9,2,5.84,,
1991,10,2,29.21,,
1991,11,2,39.62,,
1991,12,2,22.1,,
1992,1,2,21.84,,
1992,2,2,12.95,,
1992,3,2,40.13,,
1992,4,2,4.57,,
1992,5,2,21.08,,
1992,6,2,124.52,,
1992,7,2,107,,
1992,8,2,90,,
1992,9,2,0,,
1992,10,2,16.51,,
1992,11,2,26.67,,
1992,12,2,1.27,,
1993,1,2,5.59,,
1993,2,2,16.51,,
1993,3,2,17.53,,
1993,4,2,27.83,,
1993,5,2,39,,
1993,6,2,37,,
1993,7,2,106.93,,
1993,8,2,126.75,,
1993,9,2,10.16,,
1993,10,2,52.83,,
1993,11,2,22.86,,
1993,12,2,4.57,,
1994,1,2,17.02,,
1994,2,2,0,,
1994,3,2,1.27,,
1994,4,2,43,,
1994,5,2,32.33,,
1994,6,2,65.79,,
1994,7,2,87.88,,
1994,8,2,66.8,,
1994,9,2,4.57,,
1994,10,2,68.83,,
1994,11,2,29.46,,
1994,12,2,9.14,,
1995,1,2,30.73,,
1995,2,2,24.13,,
1995,3,2,56.9,,
1995,4,2,44,,
