id,date,est_date,time_point,year,month,season,phase,exp_year,julian,dss,site,slope,fert,treat,strip,rot_phs,comb_id,man_id,crop_id,crop,TOY,seed,seed_rate,n_added,dclass,d_from,d_to,bd,c_conc,soc,n_conc,sn,rep
,,,,1986,,,,,,,1,1,,8,5,,,,,,,,,,2,2.5,5,1.17,0.79,2.31075,0.0774,0.226395,1
,,,,1986,,,,,,,1,1,,8,5,,,,,,,,,,3,5,10,1.53,0.7,5.355,0.0846,0.64719,1
,,,,1986,,,,,,,1,1,,8,5,,,,,,,,,,4,10,20,1.41,0,0,0.0846,1.19286,1
,,,,1986,,,,,,,1,2,,8,5,,,,,,,,,,1,0,2.5,1.3,0.75,2.4375,0.0896,0.2912,1
,,,,1986,,,,,,,1,2,,8,5,,,,,,,,,,2,2.5,5,1.28,0.71,2.272,0.0916,0.29312,1
,,,,1986,,,,,,,1,2,,8,5,,,,,,,,,,3,5,10,1.43,0.71,5.0765,0.0846,0.60489,1
,,,,1986,,,,,,,1,2,,8,5,,,,,,,,,,4,10,20,1.34,0,0,0.0831,1.11354,1
,,,,1986,,,,,,,1,3,,8,5,,,,,,,,,,1,0,2.5,1.15,1.29,3.70875,0.1202,0.345575,1
,,,,1986,,,,,,,1,3,,8,5,,,,,,,,,,2,2.5,5,1.17,1.25,3.65625,0.1226,0.358605,1
,,,,1986,,,,,,,1,3,,8,5,,,,,,,,,,3,5,10,1.31,1.2,7.86,0.1344,0.88032,1
,,,,1986,,,,,,,1,3,,8,5,,,,,,,,,,4,10,20,1.47,0,0,0.0916,1.34652,1
,,,,1986,,,,,,,1,1,,4,6,,,,,,,,,,1,0,2.5,1.16,0.89,2.581,0.0711,0.20619,1
,,,,1986,,,,,,,1,1,,4,6,,,,,,,,,,2,2.5,5,1.17,0.8,2.34,0.0674,0.197145,1
,,,,1986,,,,,,,1,1,,4,6,,,,,,,,,,3,5,10,1.53,0.7,5.355,0.0711,0.543915,1
,,,,1986,,,,,,,1,1,,4,6,,,,,,,,,,4,10,20,1.41,0,0,0.0564,0.79524,1
,,,,1986,,,,,,,1,2,,4,6,,,,,,,,,,1,0,2.5,1.3,0.8,2.6,0.06,0.195,1
,,,,1986,,,,,,,1,2,,4,6,,,,,,,,,,2,2.5,5,1.28,0.66,2.112,0.046,0.1472,1
,,,,1986,,,,,,,1,2,,4,6,,,,,,,,,,3,5,10,1.43,0.7,5.005,0.0636,0.45474,1
,,,,1986,,,,,,,1,2,,4,6,,,,,,,,,,4,10,20,1.34,0,0,0.0549,0.73566,1
,,,,1986,,,,,,,1,3,,4,6,,,,,,,,,,1,0,2.5,1.15,1.36,3.91,0.0536,0.1541,1
,,,,1986,,,,,,,1,3,,4,6,,,,,,,,,,2,2.5,5,1.17,1.16,3.393,0.0621,0.1816425,1
,,,,1986,,,,,,,1,3,,4,6,,,,,,,,,,3,5,10,1.31,0.93,6.0915,0.0765,0.501075,1
,,,,1986,,,,,,,1,3,,4,6,,,,,,,,,,4,10,20,1.47,0,0,0.0578,0.84966,1
,,,,1986,,,,,,,1,1,,10,7,,,,,,,,,,1,0,2.5,1.16,0,0,0.0984,0.28536,1
,,,,1986,,,,,,,1,1,,10,7,,,,,,,,,,2,2.5,5,1.17,0.771,2.255175,0.106,0.31005,1
,,,,1986,,,,,,,1,1,,10,7,,,,,,,,,,3,5,10,1.53,0.748,5.7222,0,0,1
,,,,1986,,,,,,,1,1,,10,7,,,,,,,,,,4,10,20,1.41,0.84,11.844,0.088,1.2408,1
,,,,1986,,,,,,,1,2,,10,7,,,,,,,,,,1,0,2.5,1.3,0.817,2.65525,0.1046,0.33995,1
